generation code cost fitness population_size goal_size
1780 Geodtic!Algoqitgls Roc^!   18180.0 20 25
1790 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1800 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1810 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1820 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1830 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1840 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1850 Geodtic!Algoqitgls Ro6k!   18148.0 20 25
1860 Geodtic!Algoqitgls Rock!   19043.0 20 25
1870 Geodtic!Algoqitgls Rock!   19043.0 20 25
1880 Geodtic!Algoqitgls Rock!   19043.0 20 25
1890 Geodtic!Algoqithls Rock!   19894.0 20 25
1900 Gendtic!Algoqithls Rock!   20745.0 20 25
1910 Gendtic!Algoqithls Rock!   20745.0 20 25
1920 Gendtic!Algoqithls Rock!   20745.0 20 25
1930 Gendtic!Algoqithls Rock!   20745.0 20 25
1940 Gendtic!Algoqithls Rock!   20745.0 20 25
1950 Gendtic!Algoqithls Rock!   20745.0 20 25
1960 Gendtic!Algoqithls Rock!   20745.0 20 25
1970 Gendtic!Algoqithls Rock!   20745.0 20 25
1980 Gendtic!Algoqithls Rock!   20745.0 20 25
1990 Gendtic!Algoqithls Rock!   20745.0 20 25
2000 Geddtic!Algoqithls Rock!   19885.0 20 25
2010 Gendtic!Algoqithls Rock!   20745.0 20 25
2020 Gendtic!Algoqithls Rock!   20745.0 20 25
2030 Gendtic!Algoqithls Rock!   20745.0 20 25
2040 Gendtic!Algoqithls Rock!   20745.0 20 25
2050 Gendtic!Algoqithls Rock!   20745.0 20 25
2060 Gendtic!Alvoqithls Rock!   19880.0 20 25
2070 Gendtic!Algoqithls Rock!   20745.0 20 25
2080 Gendtic!Algoqithls Rock!   20745.0 20 25
2090 Gendtic!Algoqithls Rock!   20745.0 20 25
2100 Gendtic!Algoqithms Rock!   21596.0 20 25
2110 Gendtic!Algoqithms Rock!   21596.0 20 25
2120 Gendtic!Algoqithms Rock!   21596.0 20 25
2130 Gendtic!Algoqithms Rock!   21596.0 20 25
2140 Gendtic!Algoqithms Rock!   21596.0 20 25
2150 Gendtic!Algoqithms Rock!   21596.0 20 25
2160 Gendtic!A%goqithms Rock!   20675.0 20 25
2170 Gendtic!Algoqithms Rock!   21596.0 20 25
2180 Gendtic!Algoqithms Rock!   21596.0 20 25
2190 Gendtic!Algoqithms Rock!   21596.0 20 25
2200 Genetic!Algoqithms Rock!   22447.0 20 25
2210 Genetic!Algoqithms Rock!   22447.0 20 25
2220 Genetic!Algoqithms Rock!   22447.0 20 25
2230 Genetic!AlgOqithms Rock!   21565.0 20 25
2240 Genevic!Algoqithms Rock!   21595.0 20 25
2250 Genetic!Algoqithms Rock!   22447.0 20 25
2260 Genetic!Algoqithms Rock!   22447.0 20 25
2270 Genetic!Algoqithms Rock!   22447.0 20 25
2280 Genetic!Algoqithms Rock!   22447.0 20 25
2290 Genetic!Algoqithms Rock!   22447.0 20 25
2300 Genetic!Algoqtthms{Rock!   20645.0 20 25
2310 Genetic!Algoqithms Rock!   22447.0 20 25
2320 Genetic!Algoqithms Rock!   22447.0 20 25
2330 Genetic!Algoqithms Rock!   22447.0 20 25
2340 GAnetic!Algoqithms Rock!   21561.0 20 25
2350 Genetic!Algoqithms Rock!   22447.0 20 25
2360 Genetic!Algoqithms Rock!   22447.0 20 25
2370 Genetic!Algoqithms Rock!   22447.0 20 25
2380 Genetic!Algoqithms Rock!   22447.0 20 25
2390 Genetic!Algoqithms Rock!   22447.0 20 25
2400 Genetic!Algoqithms Rock^   21536.0 20 25
2410 Genetic!Algoqithms Rock!   22447.0 20 25
2420 Genetic!Alwoqithms Rock!   21581.0 20 25
2430 Genetic!Algoqithms Rock!   22447.0 20 25
2440 Genetic!Algoqithms Rock!   22447.0 20 25
2450 Genetic!Algoqithms Rock!   22447.0 20 25
2460 Genetic!Algoqithms Rock!   22447.0 20 25
2470 Genetic!Algoqithms Rock!   22447.0 20 25
2480 Genetic!Algoqithms Rock!   22447.0 20 25
2490 Genetic!Algoqithms Rock!   22447.0 20 25
2500 Genetic!Algoqithms Rock!   22447.0 20 25
2510 Genetic!Algoqithms Rock!   22447.0 20 25
2520 xenetic!Algoqithms Rock!   21548.0 20 25
2530 Genetic!Algoqithms Rock!   22447.0 20 25
2540 Genetic!Algoqithms Rock!   22447.0 20 25
2550 Genetic!Algoqithms Rock!   22447.0 20 25
2560 Genetic!Algoqithms Rock!   22447.0 20 25
2570 Genetic!Algoqithms Rock!   22447.0 20 25
2580 Genetic!Algoqithms Rock!   22447.0 20 25
2590 Genetic!Algoqithms Rock!   22447.0 20 25
2600 Genetic!Algoqithms Rock!   22447.0 20 25
2610 Genetic!Algoqithms Rock!   22447.0 20 25
2620 Genetic!Algoqithms Rock!   22447.0 20 25
2630 Genetic!Algoqithms Rock!   22447.0 20 25
2640 Genetic!Algoqithms Rock!   22447.0 20 25
2650 Genetic!Algoqithms Rock!   22447.0 20 25
2660 Genetic!Algoqithms Rock!   22447.0 20 25
2670 Genetic!Algoqithms Rock!   22447.0 20 25
2680 Genetic!Algoqithms Rock!   22447.0 20 25
2690 Genetic!Algoqithms Rock!   22447.0 20 25
2700 Genetic!Algoqithms Rock!   22447.0 20 25
2710 Genetic!Algoqithms Rock!   22447.0 20 25
2720 Genetic!Algoqithms Rock!   22447.0 20 25
2730 Genetic!Algoqithms Rock!   22447.0 20 25
2740 Genetic!Algoqithms Rock!   22447.0 20 25
